item_id,obj_id,scene_id,episode_id,obj-distance,cmin,rmin,cmax,rmax,expected-bbox-area,ang-width-deg,ang-height-deg,visible-pixels,bbox-area,min-side,occupancy-ratio
0,CounterTop|2|2,house_007514,navigation-house_007514.csv,5.5157,302.0,30.0,390.0,87.0,5545.38,17.01,16.2,3663.0,5016.0,57.0,0.73
1,Cup|2|9,house_007514,navigation-house_007514.csv,0.5975,0.0,177.0,25.0,223.0,2078.01,4.54,17.79,664.0,1150.0,25.0,0.577
2,Cup|2|10,house_007514,navigation-house_007514.csv,1.0195,149.0,83.0,166.0,112.0,1103.56,8.01,10.89,282.0,493.0,17.0,0.572
3,HousePlant|2|18,house_007514,navigation-house_007514.csv,0.8963,160.0,0.0,195.0,130.0,11861.43,23.44,37.88,1454.0,4550.0,35.0,0.32
4,Plate|2|12,house_007514,navigation-house_007514.csv,1.0175,191.0,99.0,244.0,124.0,2262.32,18.65,9.83,824.0,1325.0,25.0,0.622
5,SprayBottle|2|6,house_007514,navigation-house_007514.csv,5.2467,338.0,21.0,342.0,33.0,104.02,1.43,3.35,20.0,48.0,4.0,0.417
6,Statue|2|17,house_007514,navigation-house_007514.csv,5.5374,322.0,22.0,328.0,31.0,157.35,2.7,2.88,35.0,54.0,6.0,0.648
7,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,5.6259,366.0,28.0,375.0,33.0,95.36,2.16,1.77,32.0,45.0,5.0,0.711
8,ObjaPepper|2|3,house_007514,navigation-house_007514.csv,1.2836,217.0,81.0,224.0,93.0,218.41,3.61,4.87,53.0,84.0,7.0,0.631
9,ObjaPouch|2|1,house_007514,navigation-house_007514.csv,0.7196,30.0,135.0,112.0,184.0,5138.13,18.15,15.62,1773.0,4018.0,49.0,0.441
10,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.1766,0.0,81.0,282.0,223.0,42895.82,69.5,39.65,23732.0,40044.0,142.0,0.593
11,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,5.4512,338.0,18.0,364.0,32.0,707.78,4.99,6.18,248.0,364.0,14.0,0.681
12,window|2|0,house_007514,navigation-house_007514.csv,1.6305,232.0,0.0,308.0,44.0,4123.88,22.75,10.84,2732.0,3344.0,44.0,0.817
13,Plate|2|12,house_007514,navigation-house_007514.csv,1.0175,9.0,120.0,88.0,151.0,3414.7,17.35,10.22,1546.0,2449.0,31.0,0.631
14,SprayBottle|2|6,house_007514,navigation-house_007514.csv,5.2467,152.0,20.0,153.0,29.0,41.87,0.96,2.86,9.0,9.0,1.0,1.0
15,Statue|2|17,house_007514,navigation-house_007514.csv,5.5374,136.0,20.0,143.0,28.0,100.0,2.5,2.55,23.0,56.0,7.0,0.411
16,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,5.6259,171.0,24.0,176.0,27.0,38.02,2.0,1.3,14.0,15.0,3.0,0.933
17,ObjaPepper|2|3,house_007514,navigation-house_007514.csv,1.2836,42.0,99.0,54.0,113.0,447.86,4.11,5.71,107.0,168.0,12.0,0.637
18,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,5.4512,150.0,16.0,167.0,28.0,500.94,6.21,5.34,143.0,204.0,12.0,0.701
19,CounterTop|2|2,house_007514,navigation-house_007514.csv,5.5157,131.0,27.0,186.0,70.0,2539.89,15.68,11.65,2149.0,2365.0,43.0,0.909
20,door|1|2,house_007514,navigation-house_007514.csv,5.8494,220.0,0.0,238.0,88.0,3015.39,9.47,22.6,1140.0,1584.0,18.0,0.72
21,HousePlant|2|18,house_007514,navigation-house_007514.csv,0.8963,0.0,137.0,15.0,180.0,9002.73,7.4,52.59,208.0,645.0,15.0,0.322
22,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.846,268.0,0.0,357.0,139.0,21372.81,28.52,40.98,6700.0,12371.0,89.0,0.542
23,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.1766,0.0,94.0,141.0,223.0,19578.63,30.02,35.85,14023.0,18189.0,129.0,0.771
24,window|2|0,house_007514,navigation-house_007514.csv,1.6305,24.0,0.0,119.0,52.0,6317.03,23.37,12.79,3709.0,4940.0,52.0,0.751
25,Plate|2|12,house_007514,navigation-house_007514.csv,0.8711,0.0,144.0,63.0,194.0,4026.37,12.51,14.7,1926.0,3150.0,50.0,0.611
26,SprayBottle|2|6,house_007514,navigation-house_007514.csv,5.051,149.0,19.0,151.0,30.0,46.3,1.02,2.98,12.0,22.0,2.0,0.545
27,Statue|2|17,house_007514,navigation-house_007514.csv,5.3439,134.0,21.0,141.0,29.0,109.66,2.63,2.66,27.0,56.0,7.0,0.482
28,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,5.4272,170.0,24.0,175.0,28.0,41.2,2.08,1.36,15.0,20.0,4.0,0.75
29,ObjaPepper|2|3,house_007514,navigation-house_007514.csv,1.1332,10.0,118.0,27.0,135.0,719.69,4.69,6.89,181.0,289.0,17.0,0.626
30,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,5.2542,148.0,16.0,166.0,29.0,538.26,6.42,5.55,152.0,234.0,13.0,0.65
31,CounterTop|2|2,house_007514,navigation-house_007514.csv,5.3214,128.0,28.0,185.0,72.0,2748.95,16.29,12.14,2274.0,2508.0,44.0,0.907
32,door|1|2,house_007514,navigation-house_007514.csv,5.6533,221.0,0.0,241.0,91.0,3406.63,10.21,23.72,1293.0,1820.0,20.0,0.71
33,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.6938,273.0,0.0,395.0,154.0,22537.6,27.53,44.46,11168.0,18788.0,122.0,0.594
34,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.1335,0.0,108.0,134.0,223.0,11993.91,23.36,29.95,11589.0,15410.0,115.0,0.752
35,window|2|0,house_007514,navigation-house_007514.csv,1.4761,0.0,0.0,112.0,60.0,6895.85,21.75,14.98,5233.0,6720.0,60.0,0.779
